file,steps,zero_frac_norm,exact_zero_frac_norm,mean_norm,median_norm,p95_norm,mean_abs_norm,zero_frac_x,exact_zero_frac_x,mean_abs_x,std_x,min_x,max_x,zero_frac_y,exact_zero_frac_y,mean_abs_y,std_y,min_y,max_y,zero_frac_z,exact_zero_frac_z,mean_abs_z,std_z,min_z,max_z,zero_frac_w,exact_zero_frac_w,mean_abs_w,std_w,min_w,max_w,zero_frac_g,exact_zero_frac_g,mean_abs_g,std_g,min_g,max_g
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-55-20.tfrecord,939,0.10436634717784878,0.0010649627263045794,0.0022244586143642664,0.001754237338900566,0.006491426425054668,0.0005555176758207381,0.5292864749733759,0.002129925452609159,0.0007660029223188758,0.001556595554575324,-0.007058396935462952,0.0047293901443481445,0.6773162939297125,0.002129925452609159,0.0005461887922137976,0.0012388176983222365,-0.004782415926456451,0.0053217411041259766,0.15228966986155484,0.01703940362087327,0.0013695494271814823,0.0021126156207174063,-0.02660077065229416,0.006733834743499756,1.0,1.0,0.0,0.0,0.0,0.0,0.9968051118210862,0.9968051118210862,9.584664076101035e-05,0.00169630185700953,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-57-23.tfrecord,983,0.20854526958290945,0.001017293997965412,0.0018830235349014401,0.0010632345220074058,0.00674234232865274,0.0004831297555938363,0.5890132248219736,0.002034587995930824,0.0005906092119403183,0.001427399693056941,-0.007397577166557312,0.003392629325389862,0.5788402848423194,0.002034587995930824,0.0003568878455553204,0.00081870355643332,-0.004168480634689331,0.001855805516242981,0.1943031536113937,0.029501525940996948,0.0013765956973657012,0.0022076198365539312,-0.02660077065229416,0.007307112216949463,1.0,1.0,0.0,0.0,0.0,0.0,0.9969481180061037,0.9969481180061037,9.155645238934085e-05,0.0016578775830566883,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-59-08.tfrecord,756,0.10317460317460317,0.0013227513227513227,0.0021938777063041925,0.0014729100512340665,0.006921531283296645,0.0005677728913724422,0.49867724867724866,0.0026455026455026454,0.0006392751238308847,0.001193347736261785,-0.005658671259880066,0.00246642529964447,0.4523809523809524,0.0026455026455026454,0.0006059156148694456,0.0012003716547042131,-0.0006445050239562988,0.0061132460832595825,0.167989417989418,0.021164021164021163,0.0014349439879879355,0.0023182183504104614,-0.02660077065229416,0.007198631763458252,1.0,1.0,0.0,0.0,0.0,0.0,0.9947089947089947,0.9947089947089947,0.00015873015217948705,0.0021836236119270325,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-00-08.tfrecord,1079,0.31047265987025024,0.0009267840593141798,0.001838515279814601,0.0009377739042975008,0.006662802444770932,0.0004413425922393799,0.6552363299351252,0.0018535681186283596,0.00040144810918718576,0.0010203102137893438,-0.005692783743143082,0.00359383225440979,0.6682113067655236,0.0018535681186283596,0.00046893287799321115,0.0013214884093031287,-0.0021383222192525864,0.007560528814792633,0.2928637627432808,0.014828544949026877,0.0011695110006257892,0.002130782464519143,-0.02660077065229416,0.0075463056564331055,1.0,1.0,0.0,0.0,0.0,0.0,0.9944392956441149,0.9944392956441149,0.00016682111890986562,0.0022381411399692297,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-01-38.tfrecord,1087,0.2934682612695492,0.0009199632014719411,0.004993882495909929,0.0007855244912207127,0.008353159576654437,0.0010502574732527137,0.7608095676172953,0.0027598896044158236,0.00040189074934460223,0.001124426955357194,-0.004457429051399231,0.005901560187339783,0.7580496780128795,0.0018399264029438822,0.0002560770371928811,0.0006596429157070816,-0.0012303730472922325,0.0034105200320482254,0.39650413983440663,0.017479300827966882,0.0008978363475762308,0.0017997516551986337,-0.02660077065229416,0.007085561752319336,0.9586016559337627,0.9586016559337627,0.0036126866471022367,0.017763599753379822,-0.08726668357849121,0.08726668357849121,0.9972401103955841,0.9972401103955841,8.279668691102415e-05,0.001576526672579348,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-15-14.tfrecord,1189,0.20100925147182505,0.0008410428931875525,0.003465888323262334,0.0009571427362971008,0.006857525091618293,0.0007792587857693434,0.6568544995794785,0.001682085786375105,0.0004772682150360197,0.001248923595994711,-0.006156593095511198,0.006199412047863007,0.4213624894869638,0.001682085786375105,0.0007616173243150115,0.0016039257170632482,-0.007479846477508545,0.005806624889373779,0.3347350714886459,0.004205214465937763,0.000893633347004652,0.001722883083857596,-0.02660077065229416,0.006516635417938232,0.9806560134566863,0.9806560134566863,0.0016880815383046865,0.01206216774880886,-0.08726668357849121,0.08726668357849121,0.9974768713204374,0.9974768713204374,7.569386070827022e-05,0.001507344888523221,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-16-23.tfrecord,1046,0.18164435946462715,0.0009560229445506692,0.005058775655925274,0.0013820996973663568,0.007027900428511202,0.0011540943523868918,0.6166347992351816,0.0019120458891013384,0.0005721322959288955,0.001292416942305863,-0.005675472319126129,0.004820931702852249,0.5181644359464627,0.0019120458891013384,0.00089055928401649,0.001746853464283049,-0.006120465695858002,0.005959963425993919,0.17304015296367112,0.015296367112810707,0.0011348755797371268,0.0017650561640039086,-0.02660077065229416,0.00498548150062561,0.9646271510516252,0.9646271510516252,0.0030868633184581995,0.016420291736721992,-0.08726668357849121,0.08726668357849121,0.997131931166348,0.997131931166348,8.604206232121214e-05,0.0016071455320343375,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-17-34.tfrecord,1037,0.2420443587270974,0.0009643201542912247,0.005579532589763403,0.0016385976923629642,0.008042951487004757,0.0012546220095828176,0.5419479267116682,0.0019286403085824494,0.0009966942016035318,0.0020784386433660984,-0.007618173956871033,0.007048606872558594,0.5438765670202508,0.0019286403085824494,0.0009064208134077489,0.0019744597375392914,-0.008226413279771805,0.0046098604798316956,0.28833172613307617,0.013500482160077145,0.0010853991843760014,0.0019500810885801911,-0.02660077065229416,0.007441043853759766,0.9633558341369335,0.9633558341369335,0.003197806654497981,0.016713188961148262,-0.08726668357849121,0.08726668357849121,0.9971070395371263,0.9971070395371263,8.678880840307102e-05,0.0016141075175255537,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-18-36.tfrecord,1165,0.2592274678111588,0.0008583690987124463,0.007732387166470289,0.0009188249823637307,0.0872664526104927,0.0016059160698205233,0.567381974248927,0.002575107296137339,0.000299022882245481,0.0005581295699812472,-0.0026865126565098763,0.001933148130774498,0.6472103004291846,0.002575107296137339,0.0004538649518508464,0.0010431953705847263,-0.0054509639739990234,0.0036085257306694984,0.4781115879828326,0.013733905579399141,0.0006076388526707888,0.0013508963165804744,-0.02660077065229416,0.00543193519115448,0.9244635193133047,0.9244635193133047,0.006591801531612873,0.023987015709280968,-0.08726668357849121,0.08726668357849121,0.9974248927038627,0.9974248927038627,7.725321484031156e-05,0.0015228053089231253,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__milk-orange_juice-plate_wrapper__localpatched_teleop_2025-12-14_16-46-20.tfrecord,1077,0.1671309192200557,0.0009285051067780873,0.0017021817620843649,0.001416055136360228,0.004542909003794193,0.0003778579703066498,0.6620241411327762,0.0018570102135561746,0.0006013144738972187,0.0013854270800948143,-0.006546348333358765,0.004408739507198334,0.841225626740947,0.0018570102135561746,9.676068293629214e-05,0.0003018805000465363,-0.0009154132567346096,0.002122640609741211,0.19312906220984216,0.014856081708449397,0.0011076489463448524,0.0017314900178462267,-0.02660077065229416,0.005677163600921631,1.0,1.0,0.0,0.0,0.0,0.0,0.9972144846796658,0.9972144846796658,8.356545731658116e-05,0.0015838294057175517,-0.029999999329447746,0.029999999329447746
