episode,npz,status,steps,zero_norm_frac,near0_norm_frac,mean_norm,p50_norm,p95_norm,max_norm,xyz_key,ctrl_shape,xyz_shape,x_exact0_frac,x_near0_frac,x_min,x_max,x_std,y_exact0_frac,y_near0_frac,y_min,y_max,y_std,z_exact0_frac,z_near0_frac,z_min,z_max,z_std,w_exact0_frac,w_near0_frac,w_min,w_max,w_std,g_exact0_frac,g_near0_frac,g_min,g_max,g_std
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-55-20,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-55-20/trajectory_data.npz,ok,939,0.0010649627263045794,0.03301384451544196,0.0022244586143642664,0.001754237338900566,0.006491426425054668,0.03002002090215683,ee_position,"(939, 6)","(939, 3)",0.002129925452609159,0.13738019169329074,-0.007058396935462952,0.0047293901443481445,0.0015557663282379508,0.002129925452609159,0.16187433439829607,-0.004782415926456451,0.0053217411041259766,0.0012381580891087651,0.01703940362087327,0.03514376996805112,-0.02660077065229416,0.006733834743499756,0.0021114905830472708,1.0,1.0,0.0,0.0,0.0,0.9968051118210862,0.9968051118210862,-0.029999999329447746,0.029999999329447746,0.0016953992890194058
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-57-23,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-57-23/trajectory_data.npz,ok,983,0.001017293997965412,0.059003051881993895,0.0018830235349014401,0.0010632345220074058,0.00674234232865274,0.03001716360449791,ee_position,"(983, 6)","(983, 3)",0.002034587995930824,0.24109867751780265,-0.007397577166557312,0.003392629325389862,0.0014266734942793846,0.002034587995930824,0.17497456765005087,-0.004168480634689331,0.001855805516242981,0.0008182870806194842,0.029501525940996948,0.06002034587995931,-0.02660077065229416,0.007307112216949463,0.0022064964286983013,1.0,1.0,0.0,0.0,0.0,0.9969481180061037,0.9969481180061037,-0.029999999329447746,0.029999999329447746,0.0016570341540500522
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-59-08,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_17-59-08/trajectory_data.npz,ok,756,0.0013227513227513227,0.041005291005291,0.0021938777063041925,0.0014729100512340665,0.006921531283296645,0.030047927051782608,ee_position,"(756, 6)","(756, 3)",0.0026455026455026454,0.21428571428571427,-0.005658671259880066,0.00246642529964447,0.0011925578583031893,0.0026455026455026454,0.12566137566137567,-0.0006445050239562988,0.0061132460832595825,0.0011995774693787098,0.021164021164021163,0.04365079365079365,-0.02660077065229416,0.007198631763458252,0.0023166846949607134,1.0,1.0,0.0,0.0,0.0,0.9947089947089947,0.9947089947089947,-0.029999999329447746,0.029999999329447746,0.00218217889778316
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-00-08,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-00-08/trajectory_data.npz,ok,1079,0.0009267840593141798,0.028730305838739572,0.001838515279814601,0.0009377739042975008,0.006662802444770932,0.030050743371248245,ee_position,"(1079, 6)","(1079, 3)",0.0018535681186283596,0.19184430027803523,-0.005692783743143082,0.00359383225440979,0.001019837218336761,0.0018535681186283596,0.09916589434661724,-0.0021383222192525864,0.007560528814792633,0.0013208757154643536,0.014828544949026877,0.028730305838739572,-0.02660077065229416,0.0075463056564331055,0.002129794331267476,1.0,1.0,0.0,0.0,0.0,0.9944392956441149,0.9944392956441149,-0.029999999329447746,0.029999999329447746,0.0022371038794517517
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-01-38,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2025-12-14_18-01-38/trajectory_data.npz,ok,1087,0.0009199632014719411,0.028518859245630176,0.004993882495909929,0.0007855244912207127,0.008353159576654437,0.08726898580789566,ee_position,"(1087, 6)","(1087, 3)",0.0027598896044158236,0.16927322907083717,-0.004457429051399231,0.005901560187339783,0.0011239098384976387,0.0018399264029438822,0.28334866605335784,-0.0012303730472922325,0.0034105200320482254,0.0006593393045477569,0.017479300827966882,0.09659613615455381,-0.02660077065229416,0.007085561752319336,0.0017989238258451223,0.9586016559337627,0.9586016559337627,-0.08726668357849121,0.08726668357849121,0.01775556057691574,0.9972401103955841,0.9972401103955841,-0.029999999329447746,0.029999999329447746,0.0015757977962493896
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-13-08,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-13-08/trajectory_data.npz,ok,1077,0.0009285051067780873,0.017641597028783658,0.004662549123167992,0.0008283080533146858,0.007838650606572628,0.08727013319730759,ee_position,"(1077, 6)","(1077, 3)",0.0018570102135561746,0.08542246982358404,-0.004916330333799124,0.002974027767777443,0.0009253329480998218,0.0018570102135561746,0.036211699164345405,-0.007932091131806374,0.006977155804634094,0.0021722614765167236,0.0064995357474466105,0.0872794800371402,-0.02660077065229416,0.004390694200992584,0.00127125671133399,0.9656453110492108,0.9656453110492108,0.0,0.08726668357849121,0.015894586220383644,0.9972144846796658,0.9972144846796658,-0.029999999329447746,0.029999999329447746,0.0015830943593755364
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-15-14,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-15-14/trajectory_data.npz,ok,1189,0.0008410428931875525,0.0159798149705635,0.003465888323262334,0.0009571427362971008,0.006857525091618293,0.08728809654712677,ee_position,"(1189, 6)","(1189, 3)",0.001682085786375105,0.0815811606391926,-0.006156593095511198,0.006199412047863007,0.001248398213647306,0.001682085786375105,0.08578637510513036,-0.007479846477508545,0.005806624889373779,0.0016032526036724448,0.004205214465937763,0.021026072329688814,-0.02660077065229416,0.006516635417938232,0.0017221583984792233,0.9806560134566863,0.9806560134566863,-0.08726668357849121,0.08726668357849121,0.012056877836585045,0.9974768713204374,0.9974768713204374,-0.029999999329447746,0.029999999329447746,0.0015067113563418388
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-16-23,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-16-23/trajectory_data.npz,ok,1046,0.0009560229445506692,0.029636711281070746,0.005058775655925274,0.001382099639158696,0.007027900428511202,0.08729410171508789,ee_position,"(1046, 6)","(1046, 3)",0.0019120458891013384,0.08986615678776291,-0.005675472319126129,0.004820931702852249,0.0012917992426082492,0.0019120458891013384,0.07839388145315487,-0.006120465695858002,0.005959963425993919,0.0017460185335949063,0.015296367112810707,0.029636711281070746,-0.02660077065229416,0.00498548150062561,0.001764212385751307,0.9646271510516252,0.9646271510516252,-0.08726668357849121,0.08726668357849121,0.016412576660513878,0.997131931166348,0.997131931166348,-0.029999999329447746,0.029999999329447746,0.0016063745133578777
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-17-34,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-17-34/trajectory_data.npz,ok,1037,0.0009643201542912247,0.01639344262295082,0.005579532589763403,0.0016385976923629642,0.008042951487004757,0.0873517096042633,ee_position,"(1037, 6)","(1037, 3)",0.0019286403085824494,0.14657666345226616,-0.007618173956871033,0.007048606872558594,0.002077433280646801,0.0019286403085824494,0.06460945033751206,-0.008226413279771805,0.0046098604798316956,0.001973507460206747,0.013500482160077145,0.03085824493731919,-0.02660077065229416,0.007441043853759766,0.0019491411512717605,0.9633558341369335,0.9633558341369335,-0.08726668357849121,0.08726668357849121,0.01670512557029724,0.9971070395371263,0.9971070395371263,-0.029999999329447746,0.029999999329447746,0.0016133278841152787
HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-18-36,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ketchup-plate_wrapper__localpatched_teleop_2026-01-09_15-18-36/trajectory_data.npz,ok,1165,0.0008583690987124463,0.026609442060085836,0.007732387166470289,0.0009188249823637307,0.0872664526104927,0.08727124333381653,ee_position,"(1165, 6)","(1165, 3)",0.002575107296137339,0.15107296137339055,-0.0026865126565098763,0.001933148130774498,0.0005578905693255365,0.002575107296137339,0.19399141630901287,-0.0054509639739990234,0.0036085257306694984,0.0010427478700876236,0.013733905579399141,0.04034334763948498,-0.02660077065229416,0.00543193519115448,0.001350316102616489,0.9244635193133047,0.9244635193133047,-0.08726668357849121,0.08726668357849121,0.02397673949599266,0.9974248927038627,0.9974248927038627,-0.029999999329447746,0.029999999329447746,0.0015221474459394813
